station,scenario,2025-26,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32,2032-33,2033-34,2034-35,2035-36,2036-37,2037-38,2038-39,2039-40,2040-41,2041-42,2042-43,2043-44,2044-45,2045-46,2046-47,2047-48,2048-49,2049-50,2050-51,2051-52,2052-53,2053-54,2054-55
Bayswater,Slower Growth, $4.14 , $3.93 , $3.97 , $4.84 , $5.27 , $5.00 , $4.97 , $4.89 , $4.81 , $4.74 , $4.65 , $4.58 , $4.50 , $4.43 , $4.35 , $4.30 , $4.27 , $4.24 , $4.21 , $4.18 , $4.14 , $4.10 , $4.07 , $4.04 , $4.03 , $4.03 , $4.03 , $4.03 , $4.03 , $4.03
Eraring,Slower Growth, $7.02 , $6.90 , $6.37 , $5.86 , $5.33 , $5.02 , $4.95 , $4.87 , $4.80 , $4.72 , $4.64 , $4.57 , $4.50 , $4.42 , $4.39 , $4.37 , $4.34 , $4.31 , $4.28 , $4.25 , $4.22 , $4.19 , $4.15 , $4.12 , $4.11 , $4.11 , $4.11 , $4.11 , $4.11 , $4.11
Mt Piper,Slower Growth, $7.22 , $7.14 , $6.62 , $6.10 , $5.58 , $5.28 , $5.20 , $5.13 , $5.06 , $4.98 , $4.91 , $4.84 , $4.77 , $4.68 , $4.65 , $4.63 , $4.60 , $4.57 , $4.54 , $4.51 , $4.49 , $4.46 , $4.43 , $4.40 , $4.38 , $4.38 , $4.38 , $4.38 , $4.38 , $4.38
Vales Point B,Slower Growth, $7.02 , $6.90 , $6.37 , $5.86 , $5.33 , $5.02 , $4.95 , $4.87 , $4.80 , $4.72 , $4.64 , $4.57 , $4.50 , $4.42 , $4.39 , $4.37 , $4.34 , $4.31 , $4.28 , $4.25 , $4.22 , $4.19 , $4.15 , $4.12 , $4.11 , $4.11 , $4.11 , $4.11 , $4.11 , $4.11
Callide B,Slower Growth, $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16
Callide C,Slower Growth, $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16 , $4.16
Gladstone,Slower Growth, $6.36 , $6.30 , $5.86 , $5.40 , $4.95 , $4.68 , $4.62 , $4.56 , $4.49 , $4.43 , $4.38 , $4.34 , $4.30 , $4.26 , $4.24 , $4.23 , $4.22 , $4.20 , $4.18 , $4.16 , $4.14 , $4.13 , $4.11 , $4.09 , $4.09 , $4.09 , $4.09 , $4.09 , $4.09 , $4.09
Kogan Creek,Slower Growth, $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56 , $2.56
Millmerran,Slower Growth, $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26 , $2.26
Stanwell,Slower Growth, $5.19 , $6.76 , $6.24 , $5.71 , $5.18 , $4.88 , $4.81 , $4.72 , $4.65 , $4.58 , $4.50 , $4.43 , $4.36 , $4.28 , $4.25 , $4.23 , $4.20 , $4.16 , $4.13 , $4.10 , $4.07 , $4.04 , $4.01 , $3.98 , $3.97 , $3.97 , $3.97 , $3.97 , $3.97 , $3.97
